Concept Type	Concept ID	Concept Name	# Genes in Concept in Universe	# Sig Genes Belong to Concept	Proportion of Genes	Coeff	P-value	FDR	Odds Ratio	Enriched
KEGG pathway	dreM04260	Cardiac muscle contraction	102	17	0.16666666666666666	0.10647103203492324	0.20045566763079548	0.20045566763079548	1.1123457035874766	enriched
KEGG pathway	dreM03030	DNA replication	31	8	0.25806451612903225	0.17001082733369308	0.20047454228184713	0.20047454228184713	1.1853176850809963	enriched
KEGG pathway	dreM00640	Propanoate metabolism	29	7	0.2413793103448276	0.173604816331365	0.20258737866675225	0.20258737866675225	1.18958536820931	enriched
KEGG pathway	dreM05016	Huntington disease	274	42	0.15328467153284672	-0.08617714574981436	0.20565280422583765	0.20565280422583765	0.9174316976985225	depleted
KEGG pathway	dreM03040	Spliceosome	121	29	0.2396694214876033	0.097634994437139	0.20849980528677747	0.20849980528677747	1.1025602710207238	enriched
KEGG pathway	dreM04966	Collecting duct acid secretion	26	3	0.11538461538461539	-0.3756971066962004	0.2124028568703451	0.2124028568703451	0.6868103317904766	depleted
KEGG pathway	dreM05164	Influenza A	114	28	0.24561403508771928	0.09934933492113483	0.2126307576331029	0.2126307576331029	1.1044520558477142	enriched
KEGG pathway	dreM00590	Arachidonic acid metabolism	39	5	0.1282051282051282	-0.27910151499212316	0.2131371546483002	0.2131371546483002	0.7564631069707827	depleted
KEGG pathway	dreM05168	Herpes simplex virus 1 infection	138	33	0.2391304347826087	0.09120137635036205	0.21506742883717644	0.21506742883717644	1.095489588742812	enriched
KEGG pathway	dreM00630	Glyoxylate and dicarboxylate metabolism	34	8	0.23529411764705882	0.16013626728281646	0.21607687483939653	0.21607687483939653	1.173670793025379	enriched
KEGG pathway	dreM01524	Platinum drug resistance	59	15	0.2542372881355932	0.12781641342020994	0.22302364430023935	0.22302364430023935	1.1363443659705825	enriched
KEGG pathway	dreM04217	Necroptosis	110	23	0.20909090909090908	0.09784137711911961	0.2290716337670713	0.2290716337670713	1.10278784384924	enriched
KEGG pathway	dreM04810	Regulation of actin cytoskeleton	252	52	0.20634920634920634	0.0682554158513149	0.22969126162449482	0.22969126162449482	1.0706387316620785	enriched
KEGG pathway	dreM00250	Alanine, aspartate and glutamate metabolism	40	6	0.15	0.14656963907135043	0.2322851820063666	0.2322851820063666	1.1578555599969094	enriched
KEGG pathway	dreM00515	Mannose type O-glycan biosynthesis	19	5	0.2631578947368421	0.18790643885172267	0.2491225569354084	0.2491225569354084	1.2067206079020871	enriched
KEGG pathway	dreM00360	Phenylalanine metabolism	15	1	0.06666666666666667	-0.5093682221471844	0.2521329640156954	0.2521329640156954	0.6008750784867951	depleted
KEGG pathway	dreM01230	Biosynthesis of amino acids	76	15	0.19736842105263158	0.10560445849830251	0.27315284426538666	0.27315284426538666	1.1113821917743893	enriched
KEGG pathway	dreM04742	Taste transduction	46	11	0.2391304347826087	0.12962222103744156	0.27317958736958936	0.27317958736958936	1.1383982391742584	enriched
KEGG pathway	dreM00511	Other glycan degradation	17	2	0.11764705882352941	-0.42613973610720796	0.2742004997099341	0.2742004997099341	0.6530250845616102	depleted
KEGG pathway	dreM04380	Osteoclast differentiation	121	29	0.2396694214876033	0.08590108964800486	0.2782365677498694	0.2782365677498694	1.0896985405083417	enriched
KEGG pathway	dreM00140	Steroid hormone biosynthesis	26	2	0.07692307692307693	-0.30451880729652686	0.2795311657051185	0.2795311657051185	0.7374781581337727	depleted
KEGG pathway	dreM00982	Drug metabolism - cytochrome P450	15	2	0.13333333333333333	-0.46292955372957034	0.279582263758279	0.279582263758279	0.6294369724335318	depleted
KEGG pathway	dreM00510	N-Glycan biosynthesis	45	10	0.2222222222222222	0.12914441504268753	0.2806386327749262	0.2806386327749262	1.1378544355978137	enriched
KEGG pathway	dreM04392	Hippo signaling pathway - multiple species	30	6	0.2	0.15112767484164466	0.2813970331439204	0.2813970331439204	1.1631451529753034	enriched
KEGG pathway	dreM03020	RNA polymerase	28	2	0.07142857142857142	-0.2858546827389717	0.2832000232733637	0.2832000232733637	0.751371795305179	depleted
KEGG pathway	dreM00591	Linoleic acid metabolism	9	1	0.1111111111111111	-0.7102667551836045	0.2862023866875024	0.2862023866875024	0.4915130663135376	depleted
KEGG pathway	dreM00513	Various types of N-glycan biosynthesis	36	10	0.2777777777777778	0.13698244178479518	0.2984874572967723	0.2984874572967723	1.1468080124417408	enriched
KEGG pathway	dreM01212	Fatty acid metabolism	67	13	0.19402985074626866	-0.15031789789562455	0.31176668955836107	0.31176668955836107	0.8604344026571715	depleted
KEGG pathway	dreM05218	Melanoma	82	20	0.24390243902439024	0.09513920004395766	0.3142792935909995	0.3142792935909995	1.0998119383414229	enriched
KEGG pathway	dreM05033	Nicotine addiction	44	11	0.25	0.12225283856528071	0.3188091838572502	0.3188091838572502	1.1300397833006637	enriched
KEGG pathway	dreM00270	Cysteine and methionine metabolism	51	7	0.13725490196078433	-0.17357137903920758	0.3212175926799109	0.3212175926799109	0.8406571437210482	depleted
KEGG pathway	dreM04940	Type I diabetes mellitus	13	2	0.15384615384615385	-0.44826891917229533	0.32370042471125093	0.32370042471125093	0.6387328934130415	depleted
KEGG pathway	dreM00440	Phosphonate and phosphinate metabolism	8	3	0.375	0.2253481553978403	0.32746902334016637	0.32746902334016637	1.2527587950125374	enriched
KEGG pathway	dreM04962	Vasopressin-regulated water reabsorption	47	12	0.2553191489361702	0.1161919836948109	0.3329949985186481	0.3329949985186481	1.1232114897269132	enriched
KEGG pathway	dreM05162	Measles	105	21	0.2	0.08268789292940706	0.333250717511297	0.333250717511297	1.0862027440822564	enriched
KEGG pathway	dreM04720	Long-term potentiation	83	16	0.1927710843373494	0.09141059191302635	0.3338695603683711	0.3338695603683711	1.0957188061906065	enriched
KEGG pathway	dreM00514	Other types of O-glycan biosynthesis	45	11	0.24444444444444444	0.11766688937058907	0.3360327376044553	0.3360327376044553	1.12486934301629	enriched
KEGG pathway	dreM04976	Bile secretion	77	16	0.2077922077922078	0.09375551314714797	0.3376479767085575	0.3376479767085575	1.098291195332106	enriched
KEGG pathway	dreM04662	B cell receptor signaling pathway	70	16	0.22857142857142856	0.09616066412446983	0.34622761354857434	0.34622761354857434	1.100935930692934	enriched
KEGG pathway	dreM00310	Lysine degradation	75	19	0.25333333333333335	0.09266342112522402	0.35053097126904453	0.35053097126904453	1.0970924149883043	enriched
KEGG pathway	dreM00564	Glycerophospholipid metabolism	78	19	0.24358974358974358	0.09069293759148012	0.3531608917006548	0.3531608917006548	1.09493274094944	enriched
KEGG pathway	dreM04724	Glutamatergic synapse	134	31	0.23134328358208955	0.0714264501087068	0.3547623811677205	0.3547623811677205	1.07403915233329	enriched
KEGG pathway	dreM04130	SNARE interactions in vesicular transport	32	10	0.3125	0.12935073124087368	0.3615826286829409	0.3615826286829409	1.1380892176178896	enriched
KEGG pathway	dreM04514	Cell adhesion molecules	117	25	0.21367521367521367	0.0731301649362271	0.37431716088782396	0.37431716088782396	1.075870568424837	enriched
KEGG pathway	dreM00520	Amino sugar and nucleotide sugar metabolism	43	12	0.27906976744186046	0.11200987048449855	0.37561909513381053	0.37561909513381053	1.1185239009633843	enriched
KEGG pathway	dreM03015	mRNA surveillance pathway	82	17	0.2073170731707317	0.08475753594689103	0.3786294812227702	0.3786294812227702	1.0884531239453261	enriched
KEGG pathway	dreM05150	Staphylococcus aureus infection	26	4	0.15384615384615385	-0.22844374796614098	0.3803471572510535	0.3803471572510535	0.795771059686076	depleted
KEGG pathway	dreM03250	Viral life cycle - HIV-1	55	12	0.21818181818181817	0.09977165849237665	0.3829537072933411	0.3829537072933411	1.1049185904915595	enriched
KEGG pathway	dreM05415	Diabetic cardiomyopathy	192	36	0.1875	0.057561465888404516	0.38383080902636013	0.38383080902636013	1.0592503764192494	enriched
KEGG pathway	dreM04350	TGF-beta signaling pathway	116	24	0.20689655172413793	0.07154637441806691	0.3880300271576177	0.3880300271576177	1.0741679634604977	enriched
KEGG pathway	dreM05222	Small cell lung cancer	101	23	0.22772277227722773	0.07582848549210719	0.38961722681681865	0.38961722681681865	1.0787775322914785	enriched
KEGG pathway	dreM00340	Histidine metabolism	22	6	0.2727272727272727	0.1416417047919194	0.3959255211288434	0.3959255211288434	1.1521637598193302	enriched
KEGG pathway	dreM01250	Biosynthesis of nucleotide sugars	35	10	0.2857142857142857	0.11728260125969225	0.397814237497794	0.397814237497794	1.124437152149681	enriched
KEGG pathway	dreM04625	C-type lectin receptor signaling pathway	105	21	0.2	0.07246142648112282	0.4046358983751025	0.4046358983751025	1.0751513329200408	enriched
KEGG pathway	dreM04972	Pancreatic secretion	87	14	0.16091954022988506	0.07837887873930645	0.4069090537653478	0.4069090537653478	1.0815323506669283	enriched
KEGG pathway	dreM00410	beta-Alanine metabolism	33	8	0.24242424242424243	0.1170459067359345	0.4127341718842351	0.4127341718842351	1.1241710355288732	enriched
KEGG pathway	dreM01240	Biosynthesis of cofactors	121	21	0.17355371900826447	0.06563166231407057	0.42332305387241354	0.42332305387241354	1.0678333214646234	enriched
KEGG pathway	dreM05144	Malaria	36	6	0.16666666666666666	-0.1610213718185698	0.4326942579297647	0.4326942579297647	0.8512738776418719	depleted
KEGG pathway	dreM05160	Hepatitis C	145	29	0.2	0.058769072842048325	0.4380926240735745	0.4380926240735745	1.0605303072105798	enriched
KEGG pathway	dreM04145	Phagosome	113	19	0.168141592920354	-0.08015019056242371	0.44507986369486063	0.44507986369486063	0.9229777134343305	depleted
KEGG pathway	dreM04750	Inflammatory mediator regulation of TRP channels	104	20	0.19230769230769232	0.06650505904895992	0.45101699585344757	0.45101699585344757	1.068766371002894	enriched
KEGG pathway	dreM04913	Ovarian steroidogenesis	44	10	0.22727272727272727	0.095666460865248	0.4573718062173753	0.4573718062173753	1.1003919789902143	enriched
KEGG pathway	dreM00785	Lipoic acid metabolism	17	5	0.29411764705882354	0.1407808418552059	0.45886560856037784	0.45886560856037784	1.151172331544633	enriched
KEGG pathway	dreM05321	Inflammatory bowel disease	38	5	0.13157894736842105	0.10107562033208112	0.4611257735323463	0.4611257735323463	1.1063603019336123	enriched
KEGG pathway	dreM05152	Tuberculosis	150	27	0.18	0.05514468510809668	0.46198494844807836	0.46198494844807836	1.0566934914277653	enriched
KEGG pathway	dreM00790	Folate biosynthesis	26	4	0.15384615384615385	0.11796407742263959	0.46277057258544707	0.46277057258544707	1.125203690424719	enriched
KEGG pathway	dreM00232	Caffeine metabolism	1	1	1.0	0.3422770562814419	0.46396492006924916	0.46396492006924916	1.4081503803822526	enriched
KEGG pathway	dreM03440	Homologous recombination	34	4	0.11764705882352941	-0.15273525126862608	0.46518697245642104	0.46518697245642104	0.8583569406432192	depleted
KEGG pathway	dreM04210	Apoptosis	136	33	0.2426470588235294	0.05646949966407019	0.4720710888726086	0.4720710888726086	1.0580943420751854	enriched
KEGG pathway	dreM00920	Sulfur metabolism	9	1	0.1111111111111111	-0.36238011743463844	0.47371752943673295	0.47371752943673295	0.6960177490706134	depleted
KEGG pathway	dreM03008	Ribosome biogenesis in eukaryotes	61	16	0.26229508196721313	0.07972509248338977	0.47849077227103665	0.47849077227103665	1.082989304847903	enriched
KEGG pathway	dreM04714	Thermogenesis	215	41	0.19069767441860466	-0.05195812870853515	0.47917193535725777	0.47917193535725777	0.9493686173007648	depleted
KEGG pathway	dreM03022	Basal transcription factors	30	3	0.1	-0.15861962912962907	0.4792091989828984	0.4792091989828984	0.8533208756510495	depleted
KEGG pathway	dreM05320	Autoimmune thyroid disease	7	1	0.14285714285714285	-0.4317955850864284	0.47925072676131786	0.47925072676131786	0.6493420983284518	depleted
KEGG pathway	dreM00565	Ether lipid metabolism	34	8	0.23529411764705882	0.10152598349824016	0.48334354455005146	0.48334354455005146	1.1068586780788094	enriched
KEGG pathway	dreM03320	PPAR signaling pathway	74	17	0.22972972972972974	0.07141240212531033	0.4907776444195262	0.4907776444195262	1.074024064355089	enriched
KEGG pathway	dreM04610	Complement and coagulation cascades	61	14	0.22950819672131148	0.07538375932555114	0.5059268961919712	0.5059268961919712	1.0782978783602082	enriched
KEGG pathway	dreM00601	Glycosphingolipid biosynthesis - lacto and neolacto series	17	4	0.23529411764705882	0.12921600339844538	0.5062103127763116	0.5062103127763116	1.1379358956417105	enriched
KEGG pathway	dreM01232	Nucleotide metabolism	81	18	0.2222222222222222	0.06335999886815846	0.5280797165727109	0.5280797165727109	1.0654103167095748	enriched
KEGG pathway	dreM04620	Toll-like receptor signaling pathway	75	16	0.21333333333333335	0.06480202981092155	0.5335749880533919	0.5335749880533919	1.0669477796211313	enriched
KEGG pathway	dreM04657	IL-17 signaling pathway	73	15	0.2054794520547945	0.0654446642348259	0.5346001130957445	0.5346001130957445	1.0676336573535403	enriched
KEGG pathway	dreM00983	Drug metabolism - other enzymes	44	8	0.18181818181818182	-0.10713269116988887	0.5379286723458347	0.5379286723458347	0.8984064544773782	depleted
KEGG pathway	dreM05020	Prion disease	254	46	0.18110236220472442	0.03645500814640939	0.5402489948575548	0.5402489948575548	1.0371276406730585	enriched
KEGG pathway	dreM00500	Starch and sucrose metabolism	31	6	0.1935483870967742	0.09195200616041618	0.5511737677623895	0.5511737677623895	1.0963122045860887	enriched
KEGG pathway	dreM04146	Peroxisome	80	20	0.25	0.05916647079775504	0.5608910542204095	0.5608910542204095	1.0609518435399206	enriched
KEGG pathway	dreM04726	Serotonergic synapse	104	18	0.17307692307692307	-0.060789217507608885	0.568614722136094	0.568614722136094	0.9410215697448975	depleted
KEGG pathway	dreM04950	Maturity onset diabetes of the young	23	4	0.17391304347826086	-0.140424209948765	0.575147667734103	0.575147667734103	0.8689895231975301	depleted
KEGG pathway	dreM00061	Fatty acid biosynthesis	19	5	0.2631578947368421	0.10646451724005722	0.579017771635065	0.579017771635065	1.112338456907003	enriched
KEGG pathway	dreM00470	D-Amino acid metabolism	10	1	0.1	0.13367407333852108	0.5945655393869949	0.5945655393869949	1.1430202181638578	enriched
KEGG pathway	dreM03264	Virion - Flavivirus	2	1	0.5	0.23727980185601288	0.5949580342729162	0.5949580342729162	1.2677957997704505	enriched
KEGG pathway	dreM05204	Chemical carcinogenesis - DNA adducts	18	4	0.2222222222222222	-0.15107665964448044	0.598369359375418	0.598369359375418	0.8597817855667883	depleted
KEGG pathway	dreM01040	Biosynthesis of unsaturated fatty acids	27	5	0.18518518518518517	-0.11811262699705657	0.5996955495550356	0.5996955495550356	0.8885959670831876	depleted
KEGG pathway	dreM03410	Base excision repair	40	11	0.275	0.07286803752917607	0.6038466588372252	0.6038466588372252	1.0755885902211357	enriched
KEGG pathway	dreM00120	Primary bile acid biosynthesis	14	1	0.07142857142857142	0.11205274385889197	0.6124638932825354	0.6124638932825354	1.1185718568853669	enriched
KEGG pathway	dreM04060	Cytokine-cytokine receptor interaction	133	20	0.15037593984962405	-0.04677172440905484	0.6133669919345592	0.6133669919345592	0.9543052173153868	depleted
KEGG pathway	dreM00524	Neomycin, kanamycin and gentamicin biosynthesis	4	1	0.25	-0.3898084688728245	0.6163242490882215	0.6163242490882215	0.6771865643839278	depleted
KEGG pathway	dreM04115	p53 signaling pathway	69	10	0.14492753623188406	-0.06569165680377706	0.6179079361909661	0.6179079361909661	0.9364195583805393	depleted
KEGG pathway	dreM05030	Cocaine addiction	56	12	0.21428571428571427	0.059657987165553324	0.6231625455218166	0.6231625455218166	1.061473446914263	enriched
KEGG pathway	dreM04723	Retrograde endocannabinoid signaling	146	28	0.1917808219178082	0.038282955424458684	0.6237530753642304	0.6237530753642304	1.039025189101688	enriched
KEGG pathway	dreM00650	Butanoate metabolism	22	6	0.2727272727272727	0.08998238283458902	0.6242614199406962	0.6242614199406962	1.0941550076256614	enriched
KEGG pathway	dreM00040	Pentose and glucuronate interconversions	14	1	0.07142857142857142	-0.16002537130094932	0.6263086817217258	0.6263086817217258	0.8521221692439508	depleted
KEGG pathway	dreM00052	Galactose metabolism	28	7	0.25	0.08059464777590611	0.6264163609954007	0.6264163609954007	1.0839314334867802	enriched
KEGG pathway	dreM03050	Proteasome	44	8	0.18181818181818182	0.06575218859973857	0.6275798305188847	0.6275798305188847	1.0679620312048697	enriched
KEGG pathway	dreM05134	Legionellosis	51	8	0.1568627450980392	-0.0730156577872497	0.6367917567540516	0.6367917567540516	0.9295862746477218	depleted
KEGG pathway	dreM05340	Primary immunodeficiency	23	4	0.17391304347826086	0.08308478287404948	0.6477650959492346	0.6477650959492346	1.086633932590757	enriched
KEGG pathway	dreM04666	Fc gamma R-mediated phagocytosis	99	23	0.23232323232323232	0.042316768483874494	0.6527259470758469	0.6527259470758469	1.0432248871823644	enriched
KEGG pathway	dreM00770	Pantothenate and CoA biosynthesis	19	2	0.10526315789473684	-0.11864705335436732	0.6584780335142726	0.6584780335142726	0.8881212048514031	depleted
KEGG pathway	dreM05120	Epithelial cell signaling in Helicobacter pylori infection	79	15	0.189873417721519	0.04483206669162638	0.6687765434371225	0.6687765434371225	1.0458522117385534	enriched
KEGG pathway	dreM00910	Nitrogen metabolism	11	1	0.09090909090909091	-0.15782619270801254	0.6695273987702841	0.6695273987702841	0.8539982001845602	depleted
KEGG pathway	dreM04064	NF-kappa B signaling pathway	87	14	0.16091954022988506	-0.04576779481460428	0.688593840182704	0.688593840182704	0.9552637536361711	depleted
KEGG pathway	dreM05012	Parkinson disease	247	45	0.18218623481781376	0.02395668659836939	0.6969376092350934	0.6969376092350934	1.0242459533534929	enriched
KEGG pathway	dreM05130	Pathogenic Escherichia coli infection	207	39	0.18840579710144928	0.02579859283801704	0.6999170740138881	0.6999170740138881	1.0261342568710663	enriched
KEGG pathway	dreM04215	Apoptosis - multiple species	31	5	0.16129032258064516	-0.07596942749050516	0.7027118396458926	0.7027118396458926	0.9268445420897992	depleted
KEGG pathway	dreM04814	Motor proteins	169	32	0.1893491124260355	0.02751394886551017	0.7093129901039998	0.7093129901039998	1.0278959529896605	enriched
KEGG pathway	dreM05322	Systemic lupus erythematosus	33	5	0.15151515151515152	-0.07054383506237694	0.7126684644757753	0.7126684644757753	0.9318868893105497	depleted
KEGG pathway	dreM00053	Ascorbate and aldarate metabolism	14	2	0.14285714285714285	-0.11427826642457783	0.7132741414703192	0.7132741414703192	0.8920097049927694	depleted
KEGG pathway	dreM00240	Pyrimidine metabolism	54	12	0.2222222222222222	0.046224922915708073	0.7145139334587318	0.7145139334587318	1.0473099484743125	enriched
KEGG pathway	dreM05143	African trypanosomiasis	25	4	0.16	-0.08165939850576567	0.7145794495740803	0.7145794495740803	0.9215857987462378	depleted
KEGG pathway	dreM05133	Pertussis	71	10	0.14084507042253522	-0.04510196061947207	0.720940041739299	0.720940041739299	0.9559000127067292	depleted
KEGG pathway	dreM04640	Hematopoietic cell lineage	34	7	0.20588235294117646	-0.0648965575694793	0.728984833930828	0.728984833930828	0.9371644009270185	depleted
KEGG pathway	dreM00980	Metabolism of xenobiotics by cytochrome P450	22	6	0.2727272727272727	-0.08105452301830784	0.7332453263306999	0.7332453263306999	0.9221434120317912	depleted
KEGG pathway	dreM05014	Amyotrophic lateral sclerosis	321	58	0.1806853582554517	-0.019376206680000747	0.7364601254456388	0.7364601254456388	0.9808103054376218	depleted
KEGG pathway	dreM04977	Vitamin digestion and absorption	27	4	0.14814814814814814	0.058274619549047495	0.7392496740942288	0.7392496740942288	1.0600060541278649	enriched
KEGG pathway	dreM03266	Virion - Herpesvirus	8	1	0.125	-0.13287559991874354	0.7522265381412361	0.7522265381412361	0.8755740068117251	depleted
KEGG pathway	dreM03430	Mismatch repair	19	3	0.15789473684210525	-0.08036816475485051	0.7532651180160956	0.7532651180160956	0.9227765500376278	depleted
KEGG pathway	dreM00280	Valine, leucine and isoleucine degradation	50	11	0.22	0.041556263947818535	0.753429637134667	0.753429637134667	1.042431811530575	enriched
KEGG pathway	dreM00230	Purine metabolism	121	26	0.21487603305785125	0.02734984465008027	0.7536130436073564	0.7536130436073564	1.027727284770713	enriched
KEGG pathway	dreM00592	alpha-Linolenic acid metabolism	12	2	0.16666666666666666	-0.10010182520286401	0.7616091974627525	0.7616091974627525	0.9047452874729953	depleted
KEGG pathway	dreM03060	Protein export	19	2	0.10526315789473684	-0.07172157776925492	0.7766199494658113	0.7766199494658113	0.9307900123692259	depleted
KEGG pathway	dreM00330	Arginine and proline metabolism	51	8	0.1568627450980392	0.03738656916716049	0.7767784387237551	0.7767784387237551	1.038094238509185	enriched
KEGG pathway	dreM04670	Leukocyte transendothelial migration	124	19	0.1532258064516129	-0.025749887711843215	0.7820883084279202	0.7820883084279202	0.974578813265313	depleted
KEGG pathway	dreM00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	21	4	0.19047619047619047	-0.06515583661656967	0.7845858124639893	0.7845858124639893	0.9369214453321878	depleted
KEGG pathway	dreM04622	RIG-I-like receptor signaling pathway	54	11	0.2037037037037037	0.034360860051956425	0.7896017376235995	0.7896017376235995	1.0349580143529504	enriched
KEGG pathway	dreM04932	Non-alcoholic fatty liver disease	155	28	0.18064516129032257	-0.021911484766767443	0.7914589931916751	0.7914589931916751	0.9783268280461161	depleted
KEGG pathway	dreM05216	Thyroid cancer	44	10	0.22727272727272727	0.03694042469184824	0.7948088683932504	0.7948088683932504	1.0376312017981362	enriched
KEGG pathway	dreM00480	Glutathione metabolism	42	10	0.23809523809523808	0.037167671816788865	0.7981348270065061	0.7981348270065061	1.0378670272998123	enriched
KEGG pathway	dreM00730	Thiamine metabolism	13	2	0.15384615384615385	0.05889049987626234	0.8151803185691996	0.8151803185691996	1.0606590920793026	enriched
KEGG pathway	dreM00512	Mucin type O-glycan biosynthesis	30	8	0.26666666666666666	0.03784546953336392	0.8255488829396338	0.8255488829396338	1.0385707296580098	enriched
KEGG pathway	dreM05110	Vibrio cholerae infection	50	10	0.2	-0.0325762885923265	0.8255634351258291	0.8255634351258291	0.9679486035781172	depleted
KEGG pathway	dreM00603	Glycosphingolipid biosynthesis - globo and isoglobo series	9	1	0.1111111111111111	0.06432641345329852	0.8302294191883691	0.8302294191883691	1.0664404424629033	enriched
KEGG pathway	dreM03450	Non-homologous end-joining	12	2	0.16666666666666666	0.05489441516521707	0.8352534102808746	0.8352534102808746	1.0564290658982856	enriched
KEGG pathway	dreM04061	Viral protein interaction with cytokine and cytokine receptor	38	5	0.13157894736842105	0.029436725351851302	0.8490217255522782	0.8490217255522782	1.0298742684782287	enriched
KEGG pathway	dreM00350	Tyrosine metabolism	28	4	0.14285714285714285	-0.03642523052383008	0.854405995080679	0.854405995080679	0.9642301861870675	depleted
KEGG pathway	dreM05171	Coronavirus disease - COVID-19	190	34	0.17894736842105263	0.012703110564189558	0.8584503857056096	0.8584503857056096	1.012784137809033	enriched
KEGG pathway	dreM04936	Alcoholic liver disease	123	23	0.18699186991869918	0.01541103508206123	0.8610092228595888	0.8610092228595888	1.0155303974608791	enriched
KEGG pathway	dreM00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	26	5	0.19230769230769232	0.029766572960810242	0.8733812159498181	0.8733812159498181	1.0302140260742496	enriched
KEGG pathway	dreM00071	Fatty acid degradation	45	11	0.24444444444444444	-0.024005688661131168	0.8760563879964063	0.8760563879964063	0.976280156015136	depleted
KEGG pathway	dreM00620	Pyruvate metabolism	44	9	0.20454545454545456	0.02169678233796261	0.8814293453518195	0.8814293453518195	1.0219338690883621	enriched
KEGG pathway	dreM04744	Phototransduction	32	3	0.09375	-0.025865466844385385	0.8875718359887178	0.8875718359887178	0.9744661788007041	depleted
KEGG pathway	dreM00561	Glycerolipid metabolism	51	8	0.1568627450980392	0.01829323702104659	0.8928776834450759	0.8928776834450759	1.0184615832470831	enriched
KEGG pathway	dreM00533	Glycosaminoglycan biosynthesis - keratan sulfate	15	3	0.2	0.030723603070934486	0.9003936215015191	0.9003936215015191	1.031200443857546	enriched
KEGG pathway	dreM05219	Bladder cancer	46	9	0.1956521739130435	0.014672556875720761	0.9187350463313615	0.9187350463313615	1.014780727236109	enriched
KEGG pathway	dreM00450	Selenocompound metabolism	12	2	0.16666666666666666	-0.02960245544553515	0.9214569121710195	0.9214569121710195	0.9708314055813558	depleted
KEGG pathway	dreM00020	Citrate cycle (TCA cycle)	33	8	0.24242424242424243	0.014541879976678615	0.9317388968199216	0.9317388968199216	1.0146481275015158	enriched
KEGG pathway	dreM03265	Virion - Lyssavirus	5	2	0.4	-0.0377212678893879	0.9360855428875182	0.9360855428875182	0.9629813173019519	depleted
KEGG pathway	dreM04530	Tight junction	185	34	0.1837837837837838	0.005533093108392753	0.9395377219330836	0.9395377219330836	1.0055484289398804	enriched
KEGG pathway	dreM00260	Glycine, serine and threonine metabolism	39	5	0.1282051282051282	0.011683804508045343	0.9406265452996313	0.9406265452996313	1.0117523267587598	enriched
KEGG pathway	dreM00740	Riboflavin metabolism	8	2	0.25	0.024112138246188013	0.943387188055369	0.943387188055369	1.0244051864509163	enriched
KEGG pathway	dreM04136	Autophagy - other	28	5	0.17857142857142858	0.012829626047492366	0.9446402849679301	0.9446402849679301	1.0129122787894473	enriched
KEGG pathway	dreM00900	Terpenoid backbone biosynthesis	21	7	0.3333333333333333	0.014026832643809843	0.9474743566771991	0.9474743566771991	1.0141256702463033	enriched
KEGG pathway	dreM00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	21	3	0.14285714285714285	-0.01364712083747648	0.9509519272221462	0.9509519272221462	0.9864455789419294	depleted
KEGG pathway	dreM00600	Sphingolipid metabolism	59	11	0.1864406779661017	-0.008075913486732799	0.9509929984208987	0.9509929984208987	0.9919566090938521	depleted
KEGG pathway	dreM00130	Ubiquinone and other terpenoid-quinone biosynthesis	10	1	0.1	-0.013845673838093544	0.9656520608276344	0.9656520608276344	0.9862497366554652	depleted
KEGG pathway	dreM01523	Antifolate resistance	24	6	0.25	-0.008478122689266489	0.967169842501844	0.967169842501844	0.9915577152419269	depleted
KEGG pathway	dreM05208	Chemical carcinogenesis - reactive oxygen species	198	37	0.18686868686868688	0.002518593304955336	0.9716413933140369	0.9716413933140369	1.0025217676254545	enriched
KEGG pathway	dreM04975	Fat digestion and absorption	39	6	0.15384615384615385	-0.00405849588914077	0.9798387753623031	0.9798387753623031	0.9959497286750849	depleted
KEGG pathway	dreM01210	2-Oxocarboxylic acid metabolism	19	2	0.10526315789473684	-0.0049895455140998865	0.9827150770051534	0.9827150770051534	0.9950228815909923	depleted
KEGG pathway	dreM05140	Leishmaniasis	62	10	0.16129032258064516	-0.0024374065834760292	0.984704068838268	0.984704068838268	0.9975655614800016	depleted
KEGG pathway	dreM00430	Taurine and hypotaurine metabolism	10	0	0.0	2.0	1.0	1.0	1.0	depleted
KEGG pathway	dreM05310	Asthma	3	0	0.0	2.0	1.0	1.0	1.0	depleted
KEGG pathway	dreM03267	Virion - Adenovirus	1	0	0.0	2.0	1.0	1.0	1.0	depleted
KEGG pathway	dreM00400	Phenylalanine, tyrosine and tryptophan biosynthesis	7	0	0.0	2.0	1.0	1.0	1.0	depleted
KEGG pathway	dreM04672	Intestinal immune network for IgA production	14	0	0.0	2.0	1.0	1.0	1.0	depleted
KEGG pathway	dreM03260	Virion - Human immunodeficiency virus	2	0	0.0	2.0	1.0	1.0	1.0	depleted
KEGG pathway	dreM04122	Sulfur relay system	5	0	0.0	2.0	1.0	1.0	1.0	depleted
KEGG pathway	dreM05332	Graft-versus-host disease	3	0	0.0	2.0	1.0	1.0	1.0	depleted
KEGG pathway	dreM00780	Biotin metabolism	3	0	0.0	2.0	1.0	1.0	1.0	depleted
KEGG pathway	dreM00290	Valine, leucine and isoleucine biosynthesis	3	0	0.0	2.0	1.0	1.0	1.0	depleted
KEGG pathway	dreM05330	Allograft rejection	4	0	0.0	2.0	1.0	1.0	1.0	depleted
