Disease ID	Disease Description
H00672	Pseudofolliculitis barbae
H00673	Weill-Marchesani syndrome
H00674	Anemia due to disorders of nucleotide metabolism
H00675	Acrocapitofemoral dysplasia
H00676	Congenital primary aphakia
H00677	Aplasia of lacrimal and salivary glands
H00678	Achondrogenesis type IA; Achondrogenesis, Houston-Harris type
H00679	Hypomyelinating leukodystrophy; Pelizaeus-Merzbacher disease (PMD)
H00680	Primary failure of tooth eruption
H00681	Acne inversa; Hidradenitis suppurativa
H00682	Woodhouse-Sakati syndrome; Hypogonadism, alopecia, diabetes mellitus, mental retardation, and extrapyramidal syndrome
H00683	Anonychia congenita
H00684	Pachyonychia congenita
H00685	Bifid nose with or without anorectal and renal anomalies; BNAR syndrome
H00686	Manitoba oculotrichoanal syndrome
H00687	Fraser syndrome
H00688	Familial advanced sleep phase syndrome
H00689	Delayed sleep phase syndrome
H00690	Aland Island eye disease; Forsius-Eriksson syndrome
H00691	Bullous congenital ichthyosiform erythroderma (BCIE); Epidermolytic hyperkeratosis (EHK)
H00692	Lowe syndrome; Oculocerebrorenal Dystrophy (OCRL)
H00693	Ichthyosis bullosa of Siemens
H00694	Dent disease
H00695	Mal de Meleda; Meleda disease
H00696	Haim-Munk syndrome; Keratosis palmoplantaris periodontopathia onychogryposis
H00697	X-linked myopathy with postural muscle atrophy
H00698	Nemaline myopathy
H00699	Central core disease
H00700	Centronuclear myopathy
H00701	Congenital fiber type disproportion
H00702	Cap myopathy
H00703	Myosin storage myopathy; Hyaline body myopathy
H00704	Oculopharyngeal muscular dystrophy
H00705	Myotonia congenita
H00706	Bart-Pumphrey syndrome
H00707	Ichthyosis hystrix, Curth-Macklin type
H00708	Naegeli-Franceschetti-Jadassohn syndrome
H00709	Birk Barel mental retardation syndrome (BBMRS); Birk-Barel syndrome (BIBAS)
H00710	Erythrokeratodermia variabilis
H00711	Russell-Silver syndrome; Silver-Russell syndrome
H00712	KID/HID syndrome
H00713	Beckwith-Wiedemann syndrome
H00714	Vohwinkel syndrome
H00715	Darier disease; Dyskeratosis follicularis
H00716	Palmoplantar keratoderma with deafness
H00717	Striate palmoplantar keratoderma
H00718	Sotos syndrome
H00719	Leprechaunism; Donohue syndrome
H00720	Long QT syndrome
H00721	Pyogenic bacterial infections, recurrent, due to MYD88 deficiency
H00722	Epidermolytic palmoplantar keratoderma
H00723	Non-epidermolytic palmoplantar keratoderma
H00724	White sponge nevus
H00725	Short QT syndrome
H00726	Meesmann corneal dystrophy
H00727	Athabascan brainstem dysgenesis syndrome; Bosley-Salih-Alorainy syndrome
H00728	Brugada syndrome
H00729	Sick sinus syndrome; Sinus node dysfunction
H00730	Familial idiopathic ventricular fibrillation
H00731	Atrial fibrillation
H00732	Sorsby fundus dystrophy
H00733	Harlequin ichthyosis
H00734	Autosomal recessive congenital ichthyosis
H00735	Ichthyosis vulgaris
H00736	Dorfman-Chanarin syndrome; Chanarin-Dorfman syndrome
H00737	Peeling skin syndrome
H00738	Ichthyosis with confetti; Congenital reticular ichthyosiform erythroderma; Ichthyosis variegata
H00739	Ichthyosis with hypotrichosis
H00740	Ichthyosis follicularis, alopecia, and photophobia syndrome
H00741	Ichthyosis prematurity syndrome
H00742	Neonatal ichthyosis-sclerosing cholangitis (NISCH) syndrome; Ichthyosis, leukocyte vacuoles, alopecia, and sclerosing cholangitis (ILVASC)
H00743	Paramyotonia congenita
H00744	Potassium-aggravated myotonia; Sodium channel myotonia
H00745	Hyperkalemic periodic paralysis
H00746	Hypokalemic periodic paralysis
H00747	Thyrotoxic hypokalemic periodic paralysis
H00748	Andersen-Tawil syndrome
H00749	Episodic ataxias
H00750	Keratosis pilaris atrophicans
H00751	Asphyxiating thoracic dystrophy; Jeune syndrome
H00752	Ankyloblepharon-ectodermal defects-cleft lip/palate (AEC) syndrome and Rapp-Hodgkin syndrome
H00753	Urofacial syndrome
H00754	3-Methylglutaconic aciduria
H00755	Acrokeratosis verruciformis
H00756	Pitt-Hopkins syndrome
H00757	Dyggve-Melchior-Clausen disease
H00758	Progressive pseudorheumatoid dysplasia; Spondyloepiphyseal dysplasia tarda with progressive arthropathy (SEDT-PA)
H00759	Waardenburg syndrome
H00760	Spondyloepiphyseal dysplasia tarda
H00761	SEMD, Pakistani type; Brachyolmia type 4
H00762	Spondyloepiphyseal dysplasia with congenital joint dislocations; Spondyloepiphyseal dysplasia, Omani type
H00763	Transient bullous dermolysis of the newborn
H00764	Chromosome 5p deletion syndrome; Cri du chat syndrome; Cat cry syndrome
H00765	Spondyloepiphyseal dysplasia, Kimberley type
H00766	Wolcott-Rallison syndrome
H00767	SEMD, Matrilin type
H00768	Autosomal recessive intellectual developmental disorder; Autosomal recessive mental retardation
H00769	Hyperekplexia; Startle disease
H00770	Congenital myasthenic syndrome
H00771	Inherited erythromelalgia; Primary erythromelalgia
H00772	Paroxysmal extreme pain disorder
H00773	Autosomal dominant intellectual developmental disorder; Autosomal dominant mental retardation
H00774	Congenital insensitivity to pain
H00775	Hemiplegic migraine
H00776	Congenital motor nystagmus (CMN); Idiopathic congenital nystagmus (ICN)
H00777	SEMD, short limb-hand type; SEMD, short limb-abnormal calcification type
H00778	Tarsal-carpal coalition syndrome
H00779	Usher syndrome
H00780	Atrichia with papular lesions
H00781	Schopf-Schulz-Passarge syndrome; Keratosis palmoplantaris-cystic eyelids-hypodontia-hypotrichosis
H00782	Hypotrichosis and recurrent skin vesicles
H00783	Febrile seizures
H00784	Localized autosomal recessive hypotrichosis
H00785	Congenital hypotrichosis with juvenile macular dystrophy
H00786	Hypotrichosis
H00787	Congenital stationary night blindness
H00788	Hoyeraal-Hreidarsson syndrome; X-linked dyskeratosis congenita
H00789	Keratoconus
H00790	Keratosis linearis with ichthyosis congenita and sclerosing keratoderma; KLICK syndrome
H00791	Disseminated superficial actinic porokeratosis (DSAP)
H00792	Warburg micro syndrome
H00793	Poikiloderma with neutropenia
H00794	Aromatase excess syndrome
H00795	Seborrhea-like dermatitis with psoriasiform element
H00796	Dermatopathia pigmentosa reticularis
H00797	Martsolf syndrome
H00798	Familial carpal tunnel syndrome
H00799	CEDNIK syndrome; Cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome
H00800	Loeys-Dietz syndrome
H00801	Familial thoracic aortic aneurysm and dissection; Aortic aneurysm familial thoracic type (AAT)
H00802	Ehlers-Danlos syndrome
H00803	Seizures-sensorineural deafness-ataxia-mental retardation-electrolyte imbalance (SESAME); SeSAME/EAST syndrome
H00804	Multiple cutaneous and uterine leiomyomata
H00805	Vitreoretinal degeneration
H00806	Benign familial neonatal seizure
H00807	Nocturnal frontal lobe epilepsy
H00808	Idiopathic generalized epilepsies
H00809	Familial epilepsy temporal lobe (ETL)
H00810	Progressive myoclonic epilepsy
H00811	Distal arthrogryposis
H00812	Trichomoniasis
H00813	Laryngo onycho cutaneous syndrome
H00814	Vitelliform macular dystrophy
H00815	H syndrome; Hyperpigmentation, cutaneous, with hypertrichosis, hepatosplenomegaly, heart anomalies, hearing loss, and hypogonadism
H00816	Agenesis of the corpus callosum with peripheral neuropathy
H00817	Branchiooculofacial syndrome
H00818	Birt-Hogg-Dube syndrome
H00819	Stargardt disease; Fundus flavimaculatus
H00820	Bjornstad syndrome
H00821	Age-related macular degeneration
H00822	Renal hypodysplasia and aplasia
H00823	ABCD syndrome
H00824	Calcification of joints and arteries
H00825	Familial flecked retina syndrome
H00826	Blepharophimosis-ptosis-epicanthus inversus syndrome
H00827	Brooke-Spiegler syndrome
H00828	Familial cylindromatosis
H00829	Multiple familial trichoepithelioma
H00830	Alveolar capillary dysplasia with misalignment of pulmonary veins
H00831	Primary dystonia
H00832	Core neuroacanthocytosis syndromes
H00833	Neurodegeneration with brain iron accumulation
H00834	Guanidinoacetate methyltransferase deficiency
H00835	Succinic semialdehyde dehydrogenase deficiency; 4-Hydroxybutyric aciduria
H00836	GLUT1 deficiency syndrome; Glucose transport defect of the blood-brain barrier
H00837	Leber congenital amaurosis
H00838	Congenital fibrosis of the extraocular muscles
H00839	Porencephaly
H00840	Pseudo-TORCH syndrome
H00841	Infantile progressive bulbar palsy
H00842	Epidermodysplasia verruciformis
H00843	Hartnup disorder
H00844	Familial benign chronic pemphigus; Hailey-Hailey disease
H00845	Familial amyloidosis
H00846	Fuhrmann syndrome; Fibular aplasia or hypoplasia, femoral bowing and poly-, syn-, and oligodactyly
H00847	Al-Awadi/Raas-Rothschild syndrome; Ulna and fibula, absence of, with sever limb deficiency
H00848	Ataxia with ocular apraxia
H00849	Cerebral creatine deficiency syndrome
H00850	Frontorhiny; Median facial cleft syndrome; Frontonasal dysplasia 1
H00851	Proximal symphalangism
H00852	Klippel-Feil syndrome
H00853	Cenani-Lenz syndactyly syndrome
H00854	Wolfram syndrome; DIDMOAD syndrome
H00855	Triphalangeal thumb-polysyndactyly syndrome
H00856	Distal hereditary motor neuropathies
H00857	Oligodontia-colorectal cancer syndrome
H00858	Marie-Unna hereditary hypotrichosis
H00859	Guttmacher syndrome
H00860	Benign hereditary chorea
H00861	Pancreatic agenesis
H00862	Tourette syndrome
H00863	Spondylo-megaepiphyseal-metaphyseal dysplasia
H00864	Trichotillomania
H00865	Lethal congenital contractural syndrome
H00866	Trichothiodystrophy
H00867	Radioulnar synostosis with amegakaryocytic thrombocytopenia
H00868	Stapes ankylosis with broad thumb and toes
H00869	Leukoencephalopathy with vanishing white matter; Vanishing white matter disease; Childhood ataxia with diffuse central nervous system hypomyelination (CACH); Cree leukoencephalopathy (CLE)
H00870	Brachydactyly-syndactyly syndrome
H00871	Leukoencephalopathy with brain stem and spinal cord involvement and lactate elevation
H00872	Trismus-pseudocamptodactyly syndrome; Hecht-Beals syndrome; Dutch-Kentucky syndrome
H00873	Cousin syndrome; Pelviscapular dysplasia
H00874	Leukoencephalopathy with dystonia and motor neuropathy; Sterol carrier protein 2 deficiency
H00875	Megaloencephalic leukoencephalopathy with subcortical cysts
H00876	Mismatch repair deficiency
H00877	Brain small vessel disease
H00878	Cystic leukoencephalopathy without megalencephaly
H00879	Perry syndrome
H00880	Dyschromatosis symmetrica hereditaria
H00881	Li-Fraumeni syndrome
H00882	Cocoon syndrome
H00883	Lipoid proteinosis; Urbach-Wiethe disease
H00884	Familial progressive hyperpigmentation
H00885	Hypomelanosis of Ito; Pigmentary mosaicism
H00886	Donnai-Barrow syndrome; Faciooculoacousticorenal syndrome
H00887	Lipoprotein glomerulopathy
H00888	Nephrolithiasis/osteoporosis, hypophosphatemic
H00889	Lujan-Fryns syndrome; X-linked mental retardation with Marfanoid habitus
H00890	Azoospermia
H00891	Combined oxidative phosphorylation deficiency
H00892	Bronchiectasis with or without elevated sweat chloride
H00893	Skin fragility-woolly hair syndrome
H00894	FG syndrome; Opitz-Kaveggia syndrome
H00895	Basal cell nevus syndrome; Nevoid basal cell carcinoma syndrome; Gorlin syndrome
H00896	Lymphangioleiomyomatosis
H00897	Pontocerebellar hypoplasia
H00898	Myopathy with lactic acidosis and sideroblastic anaemia; Mitochondrial myopathy and sideroblastic anemia; Hereditary myopathy with lactic acidosis (HML)
H00899	Lysinuric protein intolerance
H00900	Geleophysic dysplasia
H00901	Cystinuria
H00902	Speech-language disorder 1
H00903	Congenital clubfoot; Congenital talipes equinovarus
H00904	Cutis laxa with severe pulmonary, gastrointestinal, and urinary abnormalities; Urban-Rifkin-Davis syndrome
H00905	Iminoglycinuria
H00906	Macrocephaly, alopecia, cutis laxa, and scoliosis; MACS syndrome
H00907	Kleefstra syndrome; Chromosome 9q34.3 deletion syndrome; 9q Subtelomeric deletion syndrome
H00908	Mowat-Wilson syndrome
H00909	Cleft palate with ankyloglossia
H00910	Hirschsprung disease
H00911	Dicarboxylic aminoaciduria
H00912	Tumor necrosis factor receptor-associated periodic syndrome; Familial periodic fever
H00913	Brain-lung-thyroid syndrome; Choreoathetosis, hypothyroidism, and neonatal respiratory distress
H00914	Warsaw breakage syndrome
H00915	Tuberous sclerosis complex; Bourneville-Pringle disease
H00916	Congenital central hypoventilation syndrome
H00917	Congenital dyserythropoietic anemia
H00918	Double-outlet right ventricle
H00919	Arterial tortuosity syndrome
H00920	Exocrine pancreatic insufficiency, dyserythropoietic anemia, and calvarial hyperostosis
H00921	Revesz syndrome; Dyskeratosis congenita, autosomal dominant 5; Exudative retinopathy with bone marrow failure
H00922	Schinzel-Giedion midface retraction syndrome
H00923	Congenital systemic glutamine deficiency; Glutamine synthetase deficiency
H00924	Severe combined immunodeficiency with microcephaly, growth retardation, and sensitivity to ionizing radiation; NHEJ1 syndrome
H00925	2-Methyl-3-hydroxybutyryl-CoA dehydrogenase (MHBD) deficiency; HSD10 mitochondrial disease
H00926	Growth retardation, developmental delay, coarse facies, and early death
H00927	Chylomicron retention disease; Anderson disease
H00928	Nephropathy with pretibial epidermolysis bullosa and deafness
H00929	Congenital vertical talus
H00930	Hypoalphalipoproteinemia
H00931	Growth hormone insensitivity with immunodeficiency
H00932	Tropical calcific pancreatitis
H00933	Hereditary pancreatitis; Hereditary chronic pancreatitis
H00934	Caudal duplication anomaly
H00935	Cold-induced sweating syndrome
H00936	Goldberg-Shprintzen megacolon syndrome; Goldberg-Shprintzen syndrome (GOSHS)
H00937	Precocious puberty
H00938	Factor XI deficiency; Plasma thromboplastin antecedent deficiency; Rosenthal syndrome
H00939	Darsun syndrome; Neutropenia, severe congenital 4, autosomal recessive; G6PC3 deficiency
H00940	Cohen syndrome
H00941	Factor XII deficiency; Hageman factor deficiency
H00942	Rabson-Mendenhall syndrome
H00943	TARP syndrome
H00944	Dowling-Degos disease
H00945	Factor XIII deficiency
H00946	Arts syndrome
H00947	Pilomatricoma; Epithelioma calcificans of Malherbe
H00948	Renal hypouricemia
H00949	Focal dermal hypoplasia; Goltz-Gorlin syndrome
H00950	Arthrogryposis, renal dysfunction, and cholestasis; ARC syndrome
H00951	Reis-Bucklers corneal dystrophy; Corneal dystrophy of Bowman type I; Granular corneal dystrophy type III
H00952	Thiel-Behnke dystrophies; Corneal dystrophy of Bowman layer type II; Honeycomb corneal dystrophy; Anterior limiting membrane dystrophy type II; Curly fibers corneal dystrophy; Waardenburg-Jonker corneal dystrophy
H00953	Gelatinous drop-like corneal dystrophy; Corneal amyloidosis
H00954	Macular corneal dystrophy; Corneal dystrophy Groenouw type II; Fehr corneal dystrophy
H00955	Granular corneal dystrophies
H00956	Lattice corneal dystrophies
H00957	Fleck corneal dystrophy; Francois-Neetens speckled corneal dystrophy
H00958	Congenital stromal corneal dystrophy; Congenital hereditary stromal dystrophy; Witschel dystrophy
H00959	Schnyder corneal dystrophy; Schnyder crystalline corneal dystrophy (SCCD); Crystalline stromal dystrophy; Schnyder crystalline dystrophy sine crystals
H00960	Fuchs corneal dystrophy; Fuchs endothelial corneal dystrophy
H00961	Posterior polymorphous corneal dystrophy
H00962	RIDDLE syndrome
H00963	Congenital hereditary endothelial dystrophy
H00964	Thiopurine S-methyltransferase deficiency (TPMT deficiency)
H00965	RAPADILINO syndrome
H00966	AICA-ribosiduria; ATIC deficiency
H00967	Adiponectin deficiency
H00968	Raine syndrome; Lethal osteosclerotic bone dysplasia
H00969	Skeletal defects, genital hypoplasia, and mental retardation
H00970	Juvenile primary lateral sclerosis
H00971	Achromatopsia; Rod monochromacy
H00972	Endocrine-cerebro-osteodysplasia syndrome
H00973	Bradyopsia
H00974	Blue cone monochromacy
H00975	Rotaviral enteritis; Rotaviral gastroenteritis
H00976	Colorblindness
H00977	Trichorhinophalangeal syndrome
H00978	Thrombocytopenia (THC)
H00979	Sacral defect with anterior meningocele; Caudal regression syndrome
H00980	Nevo syndrome
H00981	Ataxia with isolated vitamin E deficiency (AVED); Friedreich-like ataxia
H00982	Sideroblastic anemia
H00983	Alpha-2-plasmin inhibitor (a2-PI) deficiency
H00984	Bare lymphocyte syndrome type1
H00985	Bare lymphocyte syndrome type2
H00986	Multiple pterygium syndrome
H00987	Fetal akinesia deformation sequence; Pena-Shokeir syndrome, type 1
H00988	Enterokinase deficiency; Enteropeptidase deficiency
H00989	Mohr-Tranebjaerg syndrome
H00990	Microcephaly, Amish type
H00991	Microcephalic osteodysplastic primordial dwarfism, type II (MOPD II)
H00992	Seckel syndrome
H00993	Microcephalic osteodysplastic primordial dwarfism, type I (MOPD I); Taybi-Linder syndrome
H00994	Familial skewed X-chromosome inactivation
H00995	Combined deficiency of vitamin K-dependent clotting factors
H00996	Amish infantile epilepsy syndrome
H00997	CATSHL syndrome
H00998	Alternating hemiplegia of childhood
H00999	Coenzyme Q10 deficiency
H01000	Retinal vasculopathy with cerebral leukodystrophy
H01001	COACH syndrome
H01002	Generalized arterial calcification of infancy
H01003	Dimethylglycine dehydrogenase deficiency
H01004	Velocardiofacial syndrome
H01005	Dopamine beta-hydroxylase deficiency; Norepinephrine deficiency; Noradrenaline deficiency
H01006	Hereditary angioedema
H01007	Choroid plexus papilloma
H01008	C syndrome; Opitz trigonocephaly syndrome
H01009	Newfoundland rod-cone dystrophy
H01010	Occult macular dystrophy
H01011	Adrenocorticotropic hormone deficiency; Isolated ACDH deficiency
H01012	Oculo-auricular syndrome
H01013	Adult i phenotype
H01014	Sparganosis
H01015	Jalili syndrome
H01016	Primary bile acid malabsorption
H01017	Choanal atresia and lymphedema
H01018	Metachondromatosis
H01019	Catecholaminergic polymorphic ventricular tachycardia
H01020	Optic atrophy
H01021	Rhodococcus equi infection
H01022	Diseases of the tricarboxylic acid cycle
H01023	Juvenile polyposis syndrome
H01024	Hereditary mixed polyposis syndrome
H01025	Familial adenomatous polyposis
H01026	Renal coloboma syndrome; Papillorenal syndrome
H01027	Microphthalmia
H01028	Argininosuccinic aciduria; Argininosuccinate lyase deficiency
H01029	Cornea plana congenita
H01030	Congenital arthrogryposis with anterior horn cell disease
H01031	Orthostatic intolerance; Postural tachycardia syndrome
H01032	N-acetylglutamate synthase deficiency
H01033	Congenital bilateral absence of vas deferens
H01034	L1 syndrome
H01035	Corpus callosum, agenesis of, with mental retardation, ocular coloboma and micrognathia
H01036	Posterior column ataxia with retinitis pigmentosa
H01037	Vesicoureteral reflux
H01038	Cerebellar ataxia cayman type; Cayman ataxia
H01039	Ovarian hyperstimulation syndrome
H01040	Bamforth-Lazarus syndrome
H01041	Aerococcus urinae infection
H01042	Buruli ulcer
H01043	Onchocerciasis; River blindness; Robles disease
H01044	Dracunculiasis; Guinea worm disease
H01045	Schistosomiasis
H01046	Trichuriasis
H01047	Cysticercosis
H01048	Liver fluke disease; Fascioliasis
H01049	Gordonia bronchialis infection
H01050	Tsukamurella infection
H01051	Corynebacterium ulcerans infection
H01052	Molluscum contagiosum
H01053	Paroxysmal nocturnal hemoglobinuria
H01054	Pediculosis
H01055	Giant kidney worm infection; Dioctophymosis
H01056	Toxocariasis
H01057	Gnathostomiasis
H01058	Anisakiasis
H01059	Capnocytophaga canimorsus infection
H01060	Babesiosis
H01061	Mansonelliasis
H01062	Histoplasmosis
H01063	Human metapneumovirus infection
H01064	Simkania negevensis infection
H01065	Pentosuria
H01066	Bordetella petrii infection
H01067	Proteus mirabilis infection
H01068	Aggregatibacter aphrophilus infection
H01069	Stenotrophomonas maltophilia infection
H01070	Vibrio furnissii infection
H01071	Acute alcohol sensitivity
H01072	Moraxella catarrhalis infection
H01073	Shewanella infection
H01074	Aeromonas infection
H01075	Peters anomaly
H01076	Beta-ketothiolase deficiency; Alpha-methylacetoacetic aciduria
H01077	Bordetella hinzii infection
H01078	Fletcher factor deficiency; Prekallikrein deficiency (PKKD)
H01079	3-Phosphoglycerate dehydrogenase (3-PGDH) deficiency; PHGDH Deficiency
H01080	Ralstonia pickettii infection
H01081	Achromobacter xylosoxidans keratitis
H01082	Phosphoserine aminotransferase deficiency
H01083	Bordetella bronchiseptica infection
H01084	Bordetella holmesii infection
H01085	Diphyllobothriasis
H01086	Lymphatic filariasis
H01087	Balantidiasis; Balantidial dysentery
H01088	Pigmented paravenous chorioretinal atrophy
H01089	Dientamoebiasis
H01090	Ascariasis
H01091	Enterobiasis; Oxyuriasis
H01092	Hookworm disease
H01093	Paragonimiasis; Pulmonary distomatosis; Lung fluke disease; Benign endemic hemoptysis
H01094	Eosinophil peroxidase deficiency
H01095	Syndactyly
H01096	Pyruvate kinase deficiency
H01097	Spastic quadriplegic cerebral palsy
H01098	Pentastomiasis
H01099	Trichinosis; Trichinellosis
H01100	Strongyloidiasis
H01101	Combined lipase deficiency
H01102	Pituitary adenomas
H01103	Alpha-1-antitrypsin deficiency
H01104	Loiasis
H01105	Cranio-lenticulo-sutural dysplasia; Boyadjiev-Jabs syndrome
H01106	Plasminogen activator inhibitor type 1 deficiency
H01108	CD36 deficiency; Platelet glycoprotein IV deficiency
H01109	Chronic mucocutaneous candidiasis; Familial candidiasis (CANDF)
H01110	Pneumothorax
H01111	Cortisone reductase deficiency
H01112	Polyhydramnios, megalencephaly, and symptomatic epilepsy; PMSE syndrome
H01113	Acid phosphatase deficiency
H01114	Ocular coloboma
H01115	Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract
H01116	Choroideremia; Tapetochoroidal dystrophy
H01117	Chronic recurrent multifocal osteomyelitis; Majeed syndrome
H01118	Progressive external ophthalmoplegia; Autosomal dominant progressive external ophthalmoplegia
H01119	Prolidase deficiency
H01120	Proliferative vasculopathy and hydranencephaly-hydrocephaly syndrome; Cerebral proliferative glomeruloid vasculopathy (PGV); Fowler syndrome
H01121	Succinyl CoA:3-oxoacid CoA transferase (SCOT) deficiency
H01122	Congenital pulmonary alveolar proteinosis; Pulmonary surfactant metabolism dysfunction
H01123	HMG-CoA synthase deficiency
H01124	Pyridoxamine-5'-phosphate oxidase (PNPO) deficiency
H01125	Hereditary pyropoikilocytosis
H01126	Familial renal glucosuria
H01127	PIGM-congenital disorder of glycosylation
H01128	Reticular dysgenesis
H01129	Brody myopathy
H01130	Late-onset retinal degeneration
H01131	Hereditary neuralgic amyotrophy; Hereditary brachial plexus neuropathy
H01132	Aplastic anemia
H01133	Reynolds syndrome
H01134	Rhabdoid predisposition syndrome
H01135	Ribose 5-phosphate isomerase deficiency
H01136	Carboxypeptidase N deficiency
H01137	Baylisascariasis
H01138	Hymenolepiasis
H01139	Human granulocytic anaplasmosis
H01140	Sennetsu neorickettsiosis; Sennetsu ehrlichiosis
H01141	Human monocytic ehrlichiosis
H01142	Ehrlichia ewingii infection
H01143	Vitamin D-dependent rickets
H01144	Ochrobactrum anthropi infection
H01145	Atransferrinemia; Congenital hypotransferrinemia
H01146	Aminoacylase 1 deficiency
H01147	Methylobacterium infection
H01148	Caulobacter infection
H01149	Ring dermoid of cornea
H01150	Phenylobacterium infection
H01151	Brevundimonas infection
H01152	Taenia saginata infection
H01153	Human echinococcosis
H01154	Wolff-Parkinson-White (WPW) syndrome; Preexcitation syndrome
H01155	Roussy-Levy syndrome
H01156	STAR syndrome
H01157	Agrobacterium radiobacter infection
H01158	Alopecia universalis
H01159	Anterior segment dysgenesis
H01160	Schizencephaly
H01161	Aromatic L-amino acid decarboxylase deficiency
H01162	Scott syndrome
H01163	Corticosteroid-binding globulin (CBG) deficiency
H01164	Paracoccus yeei infection
H01165	Novosphingobium aromaticivorans infection
H01166	Sphingomonas paucimobilis infection
H01167	Granulibacter infection
H01168	Sea-blue histiocyte disease
H01169	Acetobacter infection
H01170	Autosomal recessive spastic ataxia of Charlevoix-Saguenay
H01171	Poor drug metabolism
H01172	Infantile-onset ascending hereditary spastic paralysis
H01173	Stiff skin syndrome
H01174	Congenital diarrhea
H01175	Staphylococcal infection
H01176	Uncomplicated urinary tract infection
H01177	Infantile bilateral striatal necrosis
H01178	Myiasis
H01179	Tungiasis; Chigoe flea
H01180	Sveinsson chorioretinal atrophy (SCRA); Helicoid peripapillary chorioretinal degeneration (HPCD)
H01181	T-cell immunodeficiency congenital alopecia and nail dystrophy
H01182	Biotinidase deficiency; BTD deficiency; Late-onset multiple carboxylase deficiency
H01183	Thiamine-responsive megaloblastic anemia
H01184	Familial dementia
H01185	Cerebral amyloid angiopathy; Hereditary cerebral hemorrhage with amyloidosis
H01186	Abnormal thyroid hormone metabolism
H01187	Tietz syndrome; Albinism-deafness syndrome
H01188	Tn syndrome
H01189	Transaldolase deficiency
H01190	Transcobalamin II deficiency
H01191	Asthma with nasal polyps and aspirin intolerance
H01192	Lysyl hydroxylase 3 deficiency; Bone fragility with contractures arterial rupture and deafness
H01193	Familial tumoral calcinosis
H01194	X-linked chondrodysplasia punctata
H01195	VACTERL/VATER association
H01196	Hypochromic microcytic anemia
H01197	Dihydrofolate reductase deficiency
H01198	Fanconi renotubular syndrome
H01199	Hyperalphalipoproteinemia
H01200	Fatal infantile cardioencephalomyopathy
H01201	Jensen syndrome; Opticoacoustic nerve atrophy
H01202	Cataract
H01203	Primary congenital glaucoma; Glaucoma 3
H01204	Cerebellar ataxia, mental retardation (MR), and dysequilibrium syndrome (CAMRQ)
H01205	Coumarin resistance; Warfarin resistance
H01206	Plasminogen deficiency
H01207	Trigonocephaly
H01208	Globozoospermia; Round-headed spermatozoa
H01209	Deafness, X-linked
H01210	Hypomagnesemia
H01211	MECP2-related severe neonatal encephalopathy
H01212	Familial encephalopathy with neuroserpin inclusion bodies
H01213	Gallbladder disease
H01214	Rh-null hemolytic anemia (RHN); Rh-deficiency syndrome
H01215	Simpson-Golabi-Behmel syndrome
H01216	Left ventricular noncompaction
H01217	Primary localized cutaneous amyloidosis
H01218	P14 deficiency
H01219	Restrictive cardiomyopathy
H01220	Congenital cataracts, facial dysmorphism, and neuropathy
H01221	Epithelial basement membrane corneal dystrophy; Cogan microcystic epithelial dystrophy; Map-dot-fingerprint dystrophy
H01222	Cowden syndrome
H01223	Mental retardation-stereotypic movements-epilepsy and/or cerebral malformations; Chromosome 5q14.3 deletion syndrome
H01224	Ketosis-prone diabetes mellitus
H01225	D-2-hydroxyglutaric aciduria
H01226	Polysyndactyly; Preaxial polydactyly type IV
H01227	Inflammatory bowel disease (IBD)
H01228	Insulin-resistant diabetes mellitus with acanthosis nigricans; Type A insulin resistance
H01229	Inclusion body myopathy 3
H01230	Adult-onset autosomal dominant leukodystrophy
H01231	Biotin-responsive basal ganglia disease
H01232	Syndromic multisystem autoimmune disease
H01233	Urocanase deficiency; Urocanic aciduria
H01234	Trimethylaminuria; Fish-odor syndrome
H01235	Bleeding disorder platelet-type
H01236	Familial articular chondrocalcinosis
H01237	Sulfite oxidase deficiency
H01238	Phelan-McDermid syndrome; Chromosome 22q13.3 deletion syndrome
H01239	Combined SAP deficiency; Prosaposin deficiency
H01240	Immune thrombocytopenia; Autoimmune thrombocytopenic purpura
H01241	Congenital diaphragmatic hernia
H01242	Saccharopinuria
H01243	Huntington disease-like syndrome
H01244	T+B+Severe combined immunodeficiencies (SCIDs)
H01245	Immunodeficiency without anhidrotic ectodermal dysplasia
H01246	Isolated congenital nail clubbing; Isolated congenital digital clubbing
H01247	Pyridoxine-dependent epilepsy
H01248	Erythrocyte lactate transporter defect
H01249	Ethylmalonic encephalopathy
H01250	Hereditary gingival fibromatosis
H01251	Focal cortical dysplasia of Taylor; Focal cortical dysplasia type II
H01252	Hereditary folate malabsorption
H01253	Isolated follicle-stimulating hormone deficiency
H01254	Congenital prothrombin deficiency
H01255	Juvenile-onset dystonia
H01256	Foveal hypoplasia
H01257	GABA-transaminase deficiency; 4-Aminobutyrate aminotransferase deficiency
H01258	Generalized epilepsy and paroxysmal dyskinesia
H01259	Giant axonal neuropathy
H01260	Glomerulopathy with fibronectin deposits
H01261	Congenital glucose-galactose malabsorption
H01262	Formiminotransferase deficiency
H01263	Progressive cardiac conduction defect (PCCD); Progressive familial heart block (PFHB); Lenegre-Lev disease
H01264	Hepatic venoocclusive disease with immunodeficiency
H01265	Hydrolethalus syndrome
